,quality,quality,utility,utility,indistinguishability,indistinguishability,similarity,similarity
,mean,std,mean,std,mean,std,mean,std
generator,,,,,,,,
SMOTE interpolation,1.0,0.0,0.8322977564845143,0.14831652078812207,0.3613333333333334,0.014892205269125748,0.510096188344403,0.012189602835910706
Transferred local differences,1.0,0.0,0.7860964723474639,0.23602044018257967,0.5210666666666667,0.020680640437106487,0.536025060970626,0.007245152441756101
